launch_speed,launch_angle,events,bb_type
84.6,15,single,line_drive
94.5,28,double,line_drive
105.8,13,triple,line_drive
101.3,-7,field_out,ground_ball
92.2,12,single,line_drive
92.5,-5,field_out,ground_ball
97.3,6,field_out,ground_ball
93.7,2,single,ground_ball
100.8,-25,force_out,ground_ball
88.8,15,single,line_drive
103.2,9,single,line_drive
89.9,8,single,line_drive
78.2,-69,field_out,ground_ball
90.3,56,field_out,popup
83.1,45,field_out,fly_ball
100.7,33,home_run,fly_ball
99.3,-16,grounded_into_double_play,ground_ball
91.6,58,field_out,fly_ball
105.2,7,single,line_drive
88.3,13,single,line_drive
94.3,6,single,ground_ball
96.9,-2,field_error,ground_ball
83.2,4,double,ground_ball
77.7,28,field_out,line_drive
105.4,6,field_out,ground_ball
101.4,-8,field_out,ground_ball
80.7,36,field_out,fly_ball
62.9,-62,fielders_choice,ground_ball
74.7,1,field_out,ground_ball
104.5,16,field_out,line_drive
101.8,-16,field_out,ground_ball
108.2,19,single,line_drive
71.3,25,single,fly_ball
82.6,-19,field_out,ground_ball
88.7,49,field_out,fly_ball
45.7,-47,single,ground_ball
84.9,24,field_out,line_drive
101.7,21,field_out,line_drive
78.3,-25,field_out,ground_ball
77.8,66,field_out,popup
99.6,11,field_error,line_drive
24.6,-46,single,ground_ball
101.2,29,home_run,line_drive
106,-3,single,ground_ball
51.5,-55,force_out,ground_ball
86.9,79,field_out,popup
99.5,-7,field_out,ground_ball
97.3,-2,double,ground_ball
80.2,-10,field_out,ground_ball
85.3,-75,field_out,ground_ball
81.7,-21,field_out,ground_ball
81.2,-35,field_out,ground_ball
97.1,-13,field_out,ground_ball
71.9,15,single,line_drive
101.2,-1,field_out,ground_ball
66.7,37,single,fly_ball
93.8,8,field_out,line_drive
85.6,-3,field_out,ground_ball
66.2,-49,field_out,ground_ball
105.2,22,field_out,line_drive
101.9,-1,field_out,ground_ball
99.6,-23,force_out,ground_ball
77.6,-47,field_out,ground_ball
77.5,-29,field_out,ground_ball
94.1,2,single,ground_ball
102.7,-4,field_out,ground_ball
99.6,6,field_out,ground_ball
99.4,6,field_out,ground_ball
107.8,46,field_out,fly_ball
60.9,-19,force_out,ground_ball
70.4,36,single,fly_ball
110.7,11,single,line_drive
89.3,54,field_out,fly_ball
92.6,-7,field_out,ground_ball
80.3,15,field_out,line_drive
84.1,-36,fielders_choice,ground_ball
88.2,17,single,line_drive
90.9,30,field_out,line_drive
73,17,double,line_drive
86.5,19,single,line_drive
84.3,19,field_out,line_drive
69.9,-52,field_out,ground_ball
93.4,-16,field_out,ground_ball
90.6,1,field_out,ground_ball
104.5,-4,force_out,ground_ball
94.9,-8,field_out,ground_ball
68.3,-42,field_out,ground_ball
59.9,13,force_out,ground_ball
76.6,18,single,line_drive
95.7,32,field_out,fly_ball
89.8,9,double,line_drive
76.7,17,single,line_drive
104.2,-7,field_out,ground_ball
68.9,46,double,fly_ball
76.6,35,field_out,fly_ball
108.6,32,home_run,fly_ball
101.5,25,home_run,fly_ball
83.7,6,field_out,ground_ball
95.2,-20,grounded_into_double_play,ground_ball
93.7,53,field_out,fly_ball
85.6,-3,field_out,ground_ball
88.4,-16,field_out,ground_ball
80.2,32,field_out,fly_ball
94.2,20,single,line_drive
94.5,16,single,line_drive
106.4,30,home_run,fly_ball
86.1,42,field_out,fly_ball
74.6,-26,field_out,ground_ball
60.4,-12,field_out,ground_ball
81.1,13,field_out,line_drive
100.8,11,double,line_drive
78.3,10,field_out,line_drive
73.5,-4,force_out,ground_ball
83.2,11,field_out,ground_ball
57.5,7,field_out,ground_ball
71.2,27,single,fly_ball
94,-16,catcher_interf,ground_ball
81.1,28,field_out,line_drive
105.2,-3,single,ground_ball
90.3,2,field_out,ground_ball
107.4,-1,field_out,ground_ball
76.3,42,field_out,fly_ball
92.1,47,field_out,fly_ball
95.4,-8,grounded_into_double_play,ground_ball
97.8,8,single,line_drive
101.7,5,field_out,ground_ball
89.2,-22,field_out,ground_ball
98.9,16,single,line_drive
89.8,5,single,ground_ball
70.5,-4,field_out,ground_ball
75,49,sac_fly,popup
92.7,15,single,line_drive
96.3,34,home_run,fly_ball
65.2,27,single,line_drive
52.7,-48,single,ground_ball
97.3,-46,field_out,ground_ball
90.7,54,field_out,fly_ball
79.1,-47,field_out,ground_ball
80.3,9,single,ground_ball
100.1,37,field_out,fly_ball
78.1,-8,field_out,ground_ball
104.5,31,home_run,fly_ball
72.4,18,single,line_drive
81.3,-20,single,ground_ball
80.4,-31,field_out,ground_ball
48.5,-13,force_out,ground_ball
80.9,34,field_out,fly_ball
88.5,47,field_out,fly_ball
89.5,-10,single,ground_ball
66.7,27,single,fly_ball
79.9,61,field_out,popup
61.9,0,force_out,ground_ball
60.1,-37,field_out,ground_ball
85,-17,field_out,ground_ball
98.2,5,field_out,ground_ball
99.8,29,home_run,line_drive
91.9,27,double,line_drive
78.7,20,single,line_drive
97.7,16,sac_fly,line_drive
71.3,-4,force_out,ground_ball
84.7,-29,field_out,ground_ball
106.8,-4,single,ground_ball
96.7,8,single,ground_ball
77.9,-40,field_out,ground_ball
105.5,-9,field_error,ground_ball
79.2,30,double,fly_ball
